wv raw rms rect wvcal snr
4941.89831571 74331.419792 70397.8488314 0.0 32994.0 254.813721449
4941.35991606 74877.8436207 70916.2821309 0.0 33355.0 255.772602459
4940.82150641 75146.0017511 71258.1251969 0.0 33143.0 256.568245243
4940.28308674 74463.4812148 70577.8067902 0.0 32752.0 255.250777811
4939.74465706 75204.5309707 71268.7901874 0.0 33283.0 256.502986197
4939.20621736 74357.0232503 70518.292305 0.0 32752.0 255.219561862
4938.66776765 75083.7397885 71183.1988327 0.0 32851.0 256.400283781
4938.12930793 75442.207172 71556.1340501 0.0 33225.0 257.14823004
4937.59083819 75199.1129311 71360.7447114 0.0 33072.0 256.855912403
4937.05235844 76001.1444608 72124.8220348 0.0 33284.0 258.262759789
4936.51386868 76088.3876209 72220.3610768 0.0 33391.0 258.461442065
4935.9753689 75220.8575692 71337.7540376 0.0 33709.0 256.731048687
4935.43685911 75938.6095234 72023.7937472 0.0 33587.0 257.999359948
4934.89833931 76095.6167883 72198.92085 0.0 33626.0 258.368956584
4934.35980949 75662.655282 71772.3685346 0.0 33642.0 257.558375639
4933.82126966 76448.9599646 72546.8825534 0.0 33409.0 259.028063785
4933.28271981 76237.2326568 72333.0453379 0.0 33824.0 258.61354011
4932.74415995 75976.1138077 72104.9912016 0.0 33767.0 258.233881171
4932.20559008 76307.7732563 72434.4943956 0.0 33592.0 258.863657857
4931.6670102 76564.2532765 72722.970224 0.0 33494.0 259.474203199
4931.1284203 76216.1097016 72419.8169613 0.0 33296.0 258.973030856
4930.58982039 76926.4310106 73069.9375087 0.0 33408.0 260.111208145
4930.05121046 77351.4733888 73462.4304715 0.0 33116.0 260.802687347
4929.51259052 76897.0058391 73042.8960308 0.0 33215.0 260.063751091
4928.97396057 77684.778327 73755.6582997 0.0 33371.0 261.290179253
4928.4353206 77027.8857901 73130.5505664 0.0 33140.0 260.154417423
4927.89667062 77450.8944919 73587.2116993 0.0 33180.0 261.085488658
4927.35801063 77343.3214896 73488.1191677 0.0 33183.0 260.911741409
4926.81934062 77301.5705637 73389.4035473 0.0 33625.0 260.622364129
4926.2806606 77445.9430054 73541.2953797 0.0 33696.0 260.925328448
4925.74197056 77203.6584447 73310.8613447 0.0 33838.0 260.506875359
4925.20327052 76550.1704572 72706.9545056 0.0 34075.0 259.440061438
4924.66456045 75802.8825597 71876.7952869 0.0 34578.0 257.695799477
4924.12584038 76050.8680814 72158.6558753 0.0 34583.0 258.299480041
4923.58711029 75296.1934051 71447.3842138 0.0 34985.0 257.00480062
4923.04837019 74816.0867665 70949.6930349 0.0 35143.0 256.008639653
4922.50962007 75724.3985062 71786.1596508 0.0 35139.0 257.499158471
4921.97085994 76076.7871106 72179.4211385 0.0 35298.0 258.330235052
4921.4320898 76409.7660871 72517.4241693 0.0 35288.0 258.988880174
4920.89330964 76650.7450723 72736.2431731 0.0 35263.0 259.369141696
4920.35451948 76692.257312 72798.0668011 0.0 35145.0 259.523792233
4919.81571929 77412.5888206 73491.8270195 0.0 35398.0 260.802455553
4919.2769091 77817.2170153 73939.7640312 0.0 35801.0 261.731755323
4918.73808888 78680.2352901 74748.3032526 0.0 35956.0 263.167583443
4918.19925866 78510.3180652 74620.1612423 0.0 36612.0 262.998995199
