wv raw rms rect wvcal snr
4940.55889177 41643.4923687 38740.702221 0.0 32994.0 185.628589984
4940.02190507 41797.2711188 38873.2539575 0.0 33355.0 185.932163284
4939.48490673 41333.1882618 38463.6340158 0.0 33143.0 184.966722714
4938.94789677 41962.3617948 39058.6635597 0.0 32752.0 186.470640733
4938.41087517 41411.2840254 38515.7589501 0.0 33283.0 185.045923869
4937.87384194 41930.2303435 39015.5406997 0.0 32752.0 186.331141253
4937.33679708 41969.7897495 39086.3793976 0.0 32851.0 186.590616183
4936.79974058 41935.0442938 39074.1607569 0.0 33225.0 186.610015803
4936.26267245 41888.5115002 38975.0127762 0.0 33072.0 186.226411879
4935.7255927 42269.6336683 39380.3917064 0.0 33284.0 187.354155848
4935.1885013 41879.4867359 38963.294072 0.0 33391.0 186.189142615
4934.65139828 42369.3190575 39517.193309 0.0 33709.0 187.799552716
4934.11428363 41923.3464442 39052.8963792 0.0 33587.0 186.531718972
4933.57715734 41790.9380488 38869.9708319 0.0 33626.0 185.930448643
4933.04001942 42063.0339802 39178.3766625 0.0 33642.0 186.831181702
4932.50286987 42146.4969356 39223.8668516 0.0 33409.0 186.864412275
4931.96570868 42715.078822 39803.7112286 0.0 33824.0 188.416905529
4931.42853587 43221.7142269 40308.6878842 0.0 33767.0 189.733083899
4930.89135142 42766.5386963 39879.537394 0.0 33592.0 188.671212703
4930.35415534 42801.7076511 39953.613127 0.0 33494.0 188.95389139
4929.81694763 42779.1901036 39904.0462028 0.0 33296.0 188.762443992
4929.27972828 43168.5815252 40280.7653779 0.0 33408.0 189.71759462
4928.7424973 43541.3556222 40644.6988613 0.0 33116.0 190.643572768
4928.2052547 42806.8120738 39940.3743324 0.0 33215.0 188.877399659
4927.66800046 43144.7186361 40204.1514979 0.0 33371.0 189.398020655
4927.13073458 43461.2814462 40583.0516789 0.0 33140.0 190.525406747
4926.59345708 43592.5712703 40709.6303517 0.0 33180.0 190.842946807
4926.05616794 43628.5782692 40757.9116159 0.0 33183.0 190.995791689
4925.51886717 43145.0138124 40231.4301114 0.0 33625.0 189.530446815
4924.98155477 42834.3458694 39941.4966326 0.0 33696.0 188.820123675
4924.44423074 42595.2584846 39712.9984761 0.0 33838.0 188.245297624
4923.90689507 41927.5969256 39017.5083934 0.0 34075.0 186.346917337
4923.36954777 41561.9661459 38722.8665044 0.0 34578.0 185.727904121
4922.83218884 41596.2047222 38657.1510257 0.0 34583.0 185.322701969
4922.29481828 41603.5706015 38722.3341346 0.0 34985.0 185.629344622
4921.75743609 42578.8219242 39670.4431886 0.0 35143.0 188.073895995
4921.22004226 42358.7904947 39477.1415788 0.0 35139.0 187.626516927
4920.6826368 43158.7373957 40288.4627535 0.0 35298.0 189.777524743
4920.14521971 43226.7669232 40349.111562 0.0 35288.0 189.918681276
4919.60779099 43024.0263102 40119.790055 0.0 35263.0 189.260349059
4919.07035063 42957.0766095 40085.2610977 0.0 35145.0 189.243956109
4918.53289865 43267.4012098 40339.2351893 0.0 35398.0 189.778299312
4917.99543503 43397.6682077 40536.0851353 0.0 35801.0 190.441260648
4917.45795978 43778.6548416 40836.2873966 0.0 35956.0 191.036524624
4916.92047289 43820.9331458 40913.8684612 0.0 36612.0 191.316879628
4916.38297438 44564.2386361 41709.8328506 0.0 36969.0 193.481730247
4915.84546423 44740.8135952 41845.9691943 0.0 36891.0 193.738791903
4915.30794245 44368.1788326 41430.8612006 0.0 36998.0 192.580538189
