wv raw rms rect wvcal snr
4938.0568691 53045.3080598 49439.5107904 0.0 32994.0 209.774408973
4937.51855189 53118.41989 49597.8212328 0.0 33355.0 210.323873125
4936.98022493 53862.6230371 50324.8772777 0.0 33143.0 211.989986935
4936.44188822 54022.5974377 50471.3887855 0.0 32752.0 212.303507183
4935.90354177 53290.7571239 49709.0284487 0.0 33283.0 210.458048028
4935.36518557 54333.5369256 50780.4996171 0.0 32752.0 213.018230131
4934.82681963 53542.5953577 49948.4585899 0.0 32851.0 210.993706881
4934.28844394 54035.2277382 50506.8045217 0.0 33225.0 212.433026346
4933.7500585 53631.3055929 50020.212268 0.0 33072.0 211.126583433
4933.21166331 54414.0420349 50863.8153995 0.0 33284.0 213.217283109
4932.67325838 54415.5593295 50838.562167 0.0 33391.0 213.103570307
4932.1348437 54135.2520437 50655.4630782 0.0 33709.0 212.879176961
4931.59641928 54167.8424433 50624.1784628 0.0 33587.0 212.674515096
4931.05798511 54538.876493 51051.2349029 0.0 33626.0 213.780326377
4930.51954119 54208.3159191 50678.6077877 0.0 33642.0 212.829795898
4929.98108753 54091.917702 50570.7847347 0.0 33409.0 212.596920893
4929.44262412 54900.45197 51343.0298428 0.0 33824.0 214.310823258
4928.90415096 54838.9612292 51301.9597445 0.0 33767.0 214.258010644
4928.36566806 54911.2035633 51375.0298339 0.0 33592.0 214.428280162
4927.82717541 55236.5217489 51760.8744 0.0 33494.0 215.440429128
4927.28867301 54678.1586177 51145.0440235 0.0 33296.0 213.903579636
4926.75016087 54392.682292 50877.3380664 0.0 33408.0 213.320545755
4926.21163898 54278.5587314 50741.5409588 0.0 33116.0 212.960846035
4925.67310734 54156.4869899 50575.0470586 0.0 33215.0 212.482320965
4925.13456596 53550.5764026 50021.4178402 0.0 33371.0 211.299107244
4924.59601483 52555.0154849 48933.0804132 0.0 33140.0 208.545006798
4924.05745396 51594.7522785 48055.5484985 0.0 33180.0 206.63067295
4923.51888334 51951.7817593 48381.1325532 0.0 33183.0 207.341421792
4922.98030297 51541.0564997 47988.7057672 0.0 33625.0 206.443249736
4922.44171285 50164.039314 46643.9788927 0.0 33696.0 203.271271696
4921.90311299 50139.4306193 46617.7405963 0.0 33838.0 203.204102526
4921.36450339 50192.1871713 46632.3253136 0.0 34075.0 203.158515932
4920.82588403 51025.3297394 47467.8643589 0.0 34578.0 205.18316935
4920.28725493 51329.2167422 47749.5582063 0.0 34583.0 205.813078261
4919.74861608 52591.8431265 49094.0141425 0.0 34985.0 209.184499906
4919.20996749 52989.2155702 49506.282624 0.0 35143.0 210.187141574
4918.67130915 53356.9961975 49841.4307289 0.0 35139.0 210.905940867
4918.13264106 54884.8147305 51306.4297283 0.0 35298.0 214.18331792
4917.59396323 55017.3538779 51447.2399126 0.0 35288.0 214.52507637
4917.05527565 55386.6192522 51844.7065613 0.0 35263.0 215.497007166
4916.51657833 55772.3237076 52221.1619722 0.0 35145.0 216.34041559
4915.97787125 56469.7949837 52887.5877777 0.0 35398.0 217.795825063
4915.43915444 55856.9698651 52342.9077013 0.0 35801.0 216.694330606
4914.90042787 56161.9355829 52592.5473569 0.0 35956.0 217.150790027
4914.36169156 56457.7593116 52963.9023683 0.0 36612.0 218.148704481
4913.8229455 56789.9904853 53231.0038613 0.0 36969.0 218.621572707
4913.2841897 56456.0234539 52918.0673606 0.0 36891.0 217.954974748
