wv raw rms rect wvcal snr
4939.6195602 43053.4563087 40194.452456 0.0 32994.0 188.479538361
4939.08187653 43427.6253239 40550.6346312 0.0 33355.0 189.368603435
4938.5441819 43591.3682556 40764.6971743 0.0 33143.0 190.039661189
4938.00647631 42823.5305693 39944.950017 0.0 32752.0 187.780807384
4937.46875978 43654.0900493 40916.9432561 0.0 33283.0 190.638057921
4936.93103229 43160.5180364 40347.374869 0.0 32752.0 188.98382326
4936.39329385 44010.7475776 41240.1069345 0.0 32851.0 191.397304652
4935.85554446 44095.878554 41295.4381065 0.0 33225.0 191.472492309
4935.31778412 43905.9938305 41050.8099016 0.0 33072.0 190.71666534
4934.78001282 43526.6637972 40693.845844 0.0 33284.0 189.841619465
4934.24223057 44374.9985224 41576.1038478 0.0 33391.0 192.198362821
4933.70443737 43779.5924925 40958.0809265 0.0 33709.0 190.552909203
4933.16663322 44015.058681 41231.8397235 0.0 33587.0 191.347460307
4932.62881812 44177.1190912 41415.4242791 0.0 33626.0 191.869328758
4932.09099206 44249.0901006 41462.65684 0.0 33642.0 191.934872442
4931.55315505 44723.9579753 41927.4472009 0.0 33409.0 193.104356204
4931.01530709 44229.4990824 41407.9967139 0.0 33824.0 191.71488618
4930.47744817 44220.0783377 41406.5199154 0.0 33767.0 191.729041495
4929.93957831 44743.6487846 41936.8393869 0.0 33592.0 193.105180244
4929.40169749 44434.1995995 41692.6810598 0.0 33494.0 192.627266814
4928.86380572 44477.9428951 41626.289275 0.0 33296.0 192.20822825
4928.325903 44772.3490396 42016.0954771 0.0 33408.0 193.421649509
4927.78798932 44386.6163341 41600.9720371 0.0 33116.0 192.292176539
4927.2500647 44722.3940207 41893.1339451 0.0 33215.0 192.942819096
4926.71212912 44215.9926802 41386.9496768 0.0 33371.0 191.64363603
4926.17418258 44010.741361 41258.7462954 0.0 33140.0 191.487668873
4925.6362251 43728.1604027 40943.5947134 0.0 33180.0 190.599259311
4925.09825666 43590.6010811 40826.4635084 0.0 33183.0 190.342129211
4924.56027728 43077.0129252 40205.4693624 0.0 33625.0 188.479793351
4924.02228694 42495.5195229 39681.3284667 0.0 33696.0 187.234744993
4923.48428564 42618.0482484 39853.1272871 0.0 33838.0 187.799676538
4922.9462734 42086.0461962 39328.8997392 0.0 34075.0 186.4354792
4922.4082502 41576.1425475 38746.079931 0.0 34578.0 184.718782811
4921.87021605 42447.4445762 39691.1443587 0.0 34583.0 187.393457702
4921.33217095 41986.690329 39190.5410495 0.0 34985.0 185.979174211
4920.7941149 42457.1745817 39638.5112377 0.0 35143.0 187.111667965
4920.25604789 42366.7561359 39618.5070574 0.0 35139.0 187.220639984
4919.71796993 43198.2885853 40400.9956003 0.0 35298.0 189.15990838
4919.17988102 43330.8781788 40545.6258075 0.0 35288.0 189.56428119
4918.64178116 44189.1456808 41447.5894571 0.0 35263.0 191.997714367
4918.10367034 44368.1392831 41587.7448005 0.0 35145.0 192.270070197
4917.56554857 44979.7393214 42169.5274409 0.0 35398.0 193.691746706
4917.02741586 45473.8770613 42745.5216414 0.0 35801.0 195.338610629
4916.48927218 45226.2267735 42353.6383414 0.0 35956.0 194.020847377
4915.95111756 45837.5252676 43073.0178459 0.0 36612.0 196.084694629
4915.41295198 46220.0448149 43414.8150678 0.0 36969.0 196.853683334
4914.87477545 45880.7313306 43100.2418444 0.0 36891.0 196.11759912
4914.33658797 46065.8584018 43292.8753256 0.0 36998.0 196.619193391
4913.79838954 46077.7088983 43239.1204398 0.0 36513.0 196.337783821
4913.26018015 46313.7149971 43528.4522495 0.0 36302.0 197.18320933
4912.72195982 46214.5542817 43374.6451864 0.0 36389.0 196.675632266
4912.18372853 46204.013641 43402.7429301 0.0 36136.0 196.832186243
4911.64548629 46036.4670855 43234.7825783 0.0 36113.0 196.409087254
4911.10723309 46310.488304 43497.3779159 0.0 36132.0 197.043336551
4910.56896894 46521.3466824 43728.0545856 0.0 36212.0 197.665125615
4910.03069385 46002.5646403 43159.593408 0.0 35923.0 196.127779369
4909.4924078 46514.5672166 43719.8121615 0.0 36112.0 197.641261559
4908.95411079 46736.8514368 43921.9523572 0.0 35897.0 198.101553929
4908.41580284 47160.2541823 44363.6297365 0.0 35724.0 199.241127507
4907.87748393 46566.3453128 43680.5645875 0.0 35753.0 197.34111334
4907.33915407 47154.1467631 44341.7886685 0.0 36015.0 199.152143852
4906.80081326 47027.0882704 44232.6402649 0.0 36204.0 198.920603384
4906.26246149 47141.2328985 44343.9863021 0.0 35873.0 199.190996262
4905.72409878 46664.0603291 43901.1301061 0.0 36192.0 198.164895912
4905.18572511 46900.8761866 44161.0146752 0.0 36136.0 198.863450966
4904.64734049 46749.4513586 43973.4860499 0.0 36189.0 198.31642503
4904.10894491 46756.9821403 44000.6451218 0.0 36328.0 198.42767451
4903.57053839 46973.8871735 44206.5672389 0.0 36372.0 198.915850064
4903.03212091 47095.2771324 44316.9359876 0.0 36141.0 199.16565052
4902.49369248 46776.2011138 43982.9332209 0.0 36194.0 198.301604838
4901.9552531 47105.5317407 44312.1920069 0.0 36146.0 199.12069564
4901.41680276 47155.8377229 44453.4073588 0.0 36183.0 199.672190054
4900.87834148 46940.5677578 44173.8661346 0.0 35811.0 198.835910911
4900.33986924 47285.1839693 44517.6988143 0.0 35785.0 199.687496579
4899.80138605 47566.6638323 44779.3429948 0.0 35533.0 200.290764807
4899.2628919 47337.4513622 44530.4036247 0.0 35597.0 199.631601093
4898.72438681 47364.0320835 44576.0653523 0.0 35746.0 199.786777294
4898.18587076 47314.6045518 44549.2226414 0.0 35836.0 199.770203065
4897.64734376 47088.1356869 44274.656672 0.0 35824.0 198.98293188
4897.10880581 47426.8073144 44621.2361858 0.0 35751.0 199.859725401
4896.5702569 47346.0191527 44581.3150273 0.0 35547.0 199.851136467
4896.03169704 47538.0627056 44749.0966613 0.0 35643.0 200.212437456
4895.49312624 47189.6505849 44417.3599764 0.0 35658.0 199.42821364
4894.95454447 46981.6301305 44190.8233381 0.0 35892.0 198.82469574
4894.41595176 47689.083651 44940.9224725 0.0 35644.0 200.775623
4893.87734809 47879.0269221 45091.5189352 0.0 35677.0 201.059784393
4893.33873348 47646.5484246 44845.572605 0.0 35968.0 200.424169315
4892.80010791 47818.6638768 45075.4999563 0.0 35806.0 201.1179493
4892.26147138 47323.9058524 44549.8129078 0.0 35868.0 199.75242109
4891.72282391 48195.845423 45437.3630798 0.0 36040.0 201.97257426
4891.18416548 47872.253222 45085.9743043 0.0 36060.0 201.048845524
4890.6454961 47727.4140039 44962.1703436 0.0 36400.0 200.790336166
4890.10681577 47971.4702715 45162.5332498 0.0 36384.0 201.18734778
4889.56812449 48415.5058078 45628.0964564 0.0 36654.0 202.375926814
4889.02942225 47804.7724968 45015.4756134 0.0 37213.0 200.868684165
4888.49070906 47624.2504115 44833.3064756 0.0 37757.0 200.41599306
4887.95198492 48005.2637261 45223.8706141 0.0 37618.0 201.398572492
4887.41324983 47918.3613373 45169.2766726 0.0 37950.0 201.33547633
4886.87450379 47410.3889051 44644.3518492 0.0 38291.0 200.004135399
4886.33574679 47611.1361446 44823.4946464 0.0 38271.0 200.399053487
4885.79697884 48068.7382814 45313.2606095 0.0 37771.0 201.674938433
4885.25819994 48357.7511422 45557.1256476 0.0 37085.0 202.173401272
4884.71941008 47624.1306102 44807.4627546 0.0 36473.0 200.295556998
4884.18060928 48073.9511619 45338.5909894 0.0 36209.0 201.781278556
4883.64179752 47878.5959761 45087.2394667 0.0 36085.0 201.040794677
4883.10297481 47439.6356514 44669.0756704 0.0 36153.0 200.055283473
4882.56414115 47790.0778279 45072.7664679 0.0 36327.0 201.168179981
4882.02529653 47704.3679484 44966.1467135 0.0 36853.0 200.859670928
4881.48644096 47841.799885 45065.9143907 0.0 37892.0 201.022346092
4880.94757444 48029.5036518 45247.1643626 0.0 39466.0 201.453701752
4880.40869697 48077.7559842 45298.4278846 0.0 40839.0 201.58615762
4879.86980855 48237.007371 45466.6971897 0.0 42542.0 202.018472177
4879.33090917 47666.2898668 44855.1168047 0.0 44234.0 200.425272484
4878.79199884 47908.1470477 45136.5761425 0.0 45012.0 201.205640701
4878.25307756 47186.2733218 44426.0477477 0.0 45650.0 199.476437023
4877.71414533 47369.9089454 44585.0028562 0.0 45616.0 199.815654736
4877.17520214 47617.3854076 44856.9039168 0.0 45135.0 200.541339826
4876.63624801 47976.0999132 45163.6122461 0.0 42937.0 201.182204197
4876.09728292 48019.6351764 45278.4901205 0.0 39750.0 201.621128052
4875.55830688 48140.1387612 45403.1570148 0.0 37865.0 201.935982671
4875.01931988 47173.7275954 44440.1871808 0.0 36410.0 199.570533803
4874.48032194 46977.4171181 44198.9813842 0.0 35999.0 198.872371482
4873.94131304 46766.3101765 44052.4021749 0.0 36185.0 198.650809302
4873.40229319 46831.8106001 44028.7767266 0.0 35794.0 198.394225951
4872.86326238 46551.5104182 43800.1311865 0.0 35900.0 197.938419023
