wv raw rms rect wvcal snr
4940.72036071 45327.294236 42274.5867537 0.0 32994.0 194.47844742
4940.18234137 44963.1810308 41981.8423423 0.0 33355.0 193.891972922
4939.64431101 45004.1129747 42052.2162491 0.0 33143.0 194.137136446
4939.10626964 44745.216666 41738.7925581 0.0 32752.0 193.214984126
4938.56821725 44924.9099925 41988.0969775 0.0 33283.0 194.007436662
4938.03015384 44902.7056002 41859.2994988 0.0 32752.0 193.440567287
4937.49207943 45386.488202 42362.7814562 0.0 32851.0 194.766995469
4936.95399399 45992.044978 42984.348478 0.0 33225.0 196.374531559
4936.41589754 45427.1305244 42394.3361451 0.0 33072.0 194.826905585
4935.87779007 45469.5941011 42491.5162815 0.0 33284.0 195.195017716
4935.33967159 45841.7259683 42849.6231746 0.0 33391.0 196.069405071
4934.80154209 45823.4903486 42768.4754702 0.0 33709.0 195.72514713
4934.26340158 45669.0091818 42678.3289171 0.0 33587.0 195.639901116
4933.72525005 45287.4353135 42243.2714457 0.0 33626.0 194.417810023
4933.18708751 45822.4174286 42837.7920017 0.0 33642.0 196.056130668
4932.64891395 46286.4154864 43302.7860404 0.0 33409.0 197.228320768
4932.11072938 45488.3394875 42510.2014248 0.0 33824.0 195.242229972
4931.57253379 46223.7835669 43248.2794359 0.0 33767.0 197.109484777
4931.03432718 47072.9610866 44122.6227312 0.0 33592.0 199.348074006
4930.49610956 47110.4864181 44120.2019338 0.0 33494.0 199.254341047
4929.95788092 46294.6891218 43334.1371039 0.0 33296.0 197.357956424
4929.41964127 47294.3340522 44303.7398979 0.0 33408.0 199.70910327
4928.8813906 47221.1152408 44262.6511775 0.0 33116.0 199.677698246
4928.34312892 47530.91652 44551.0867871 0.0 33215.0 200.344846423
4927.80485622 47534.15592 44487.7033938 0.0 33371.0 200.042481045
4927.26657251 47891.819694 44941.8158219 0.0 33140.0 201.373263465
4926.72827778 48405.3079774 45443.2926815 0.0 33180.0 202.576770469
4926.18997204 48444.2202437 45411.9082612 0.0 33183.0 202.347344759
4925.65165527 48806.5842421 45818.3540978 0.0 33625.0 203.434996456
4925.1133275 47639.2360949 44605.7961274 0.0 33696.0 200.362864293
4924.57498871 47565.5384946 44564.4113167 0.0 33838.0 200.331197658
4924.0366389 47126.3019798 44160.6615537 0.0 34075.0 199.408913002
4923.49827808 47363.8541633 44323.4464686 0.0 34578.0 199.648893377
4922.95990624 47791.028708 44761.1716826 0.0 34583.0 200.754180215
4922.42152339 47690.7663295 44679.9403807 0.0 34985.0 200.595315097
4921.88312952 47491.3201613 44480.4355212 0.0 35143.0 200.102232864
4921.34472463 47117.367151 44125.030696 0.0 35139.0 199.261833493
4920.80630874 47089.6305037 44084.1140972 0.0 35298.0 199.131244207
4920.26788182 46825.7138823 43841.3765463 0.0 35288.0 198.573597992
4919.72944389 46703.6976137 43714.6490236 0.0 35263.0 198.247115134
4919.19099494 46774.4391118 43795.5365791 0.0 35145.0 198.471272037
4918.65253498 46917.384576 43903.0404656 0.0 35398.0 198.661292039
4918.114064 47359.3538402 44383.0636113 0.0 35801.0 199.936963442
4917.57558201 47483.9358098 44473.3892482 0.0 35956.0 200.0855402
4917.037089 47716.4172924 44754.6669405 0.0 36612.0 200.886828575
4916.49858498 48209.0454276 45197.8406682 0.0 36969.0 201.868728016
4915.96006994 48186.4592965 45180.7041307 0.0 36891.0 201.838542821
4915.42154389 48122.1304598 45089.5739414 0.0 36998.0 201.556540056
4914.88300682 48317.7470442 45343.6997574 0.0 36513.0 202.306953366
4914.34445873 48110.3686397 45137.3895937 0.0 36302.0 201.803609605
4913.80589963 48049.0706625 45030.8125975 0.0 36389.0 201.443268901
4913.26732951 48204.3676576 45234.4951596 0.0 36136.0 202.048530363
4912.72874838 48345.1144088 45355.4585218 0.0 36113.0 202.301805664
4912.19015623 47906.0508253 44894.770692 0.0 36132.0 201.123839513
4911.65155307 48319.4803402 45324.4776454 0.0 36212.0 202.214328858
4911.11293889 48051.7056316 45062.3515231 0.0 35923.0 201.583706037
4910.5743137 47833.4499078 44833.1437496 0.0 36112.0 200.996014409
4910.03567749 48520.5949371 45544.7274925 0.0 35897.0 202.794549976
4909.49703026 47960.3015765 44988.8723975 0.0 35724.0 201.442212667
4908.95837202 47986.7749772 44979.9681486 0.0 35753.0 201.343206562
4908.41970277 48122.8126532 45158.0434031 0.0 36015.0 201.872169881
4907.8810225 48423.9703054 45469.570192 0.0 36204.0 202.657561727
4907.34233121 48402.0036286 45380.5578431 0.0 35873.0 202.294196934
4906.80362891 48665.3024538 45739.6623204 0.0 36192.0 203.379079158
4906.26491559 48402.0727621 45439.7746341 0.0 36136.0 202.567553832
4905.72619126 48507.6274105 45566.3695331 0.0 36189.0 202.922571558
4905.18745591 48170.210452 45234.098721 0.0 36328.0 202.121089905
4904.64870954 48008.5914509 45046.2052064 0.0 36372.0 201.602819216
4904.10995216 48479.6855442 45553.8681148 0.0 36141.0 202.92561817
4903.57118377 48649.2354129 45734.0945144 0.0 36194.0 203.38831797
4903.03240436 47966.0549812 45042.5243493 0.0 36146.0 201.678559956
4902.49361393 48400.5440554 45452.8956059 0.0 36183.0 202.631484073
4901.95481249 48179.987208 45197.7947747 0.0 35811.0 201.931733248
4901.41600003 48753.9160995 45777.4851312 0.0 35785.0 203.361031722
4900.87717656 48837.2408725 45880.7719369 0.0 35533.0 203.655701353
