wv raw rms rect wvcal snr
4939.60974631 61124.7329747 57240.6105799 0.0 32994.0 226.880972
4939.07198138 60280.9390094 56396.1259992 0.0 33355.0 225.030134757
4938.53420575 60612.5774919 56766.569603 0.0 33143.0 225.919567173
4937.99641943 60531.230135 56652.4488805 0.0 32752.0 225.604916996
4937.45862241 61050.6133517 57183.1908071 0.0 33283.0 226.788438032
4936.9208147 61594.213742 57743.0359855 0.0 32752.0 228.038851131
4936.3829963 61212.6044823 57337.4831855 0.0 32851.0 227.109836236
4935.8451672 61811.0534187 57937.6371444 0.0 33225.0 228.417502336
4935.30732741 61144.1358177 57226.4134303 0.0 33072.0 226.784152727
4934.76947692 61284.3105161 57445.8774748 0.0 33284.0 227.417834162
4934.23161574 61642.5304017 57785.5472745 0.0 33391.0 228.119770136
4933.69374386 61762.435481 57902.7100153 0.0 33709.0 228.368536097
4933.15586129 62257.5294665 58394.3216126 0.0 33587.0 229.425097279
4932.61796803 61896.3263501 58101.6150133 0.0 33626.0 228.926314369
4932.08006407 61773.937605 57919.0246576 0.0 33642.0 228.413303333
4931.54214941 62168.255532 58337.2357387 0.0 33409.0 229.364607606
4931.00422407 62627.9534329 58751.7176958 0.0 33824.0 230.169849967
4930.46628803 62231.3484554 58455.3033931 0.0 33767.0 229.726571327
4929.92834129 62862.5555719 58929.509468 0.0 33592.0 230.441847327
4929.39038386 62715.8287912 58902.6663887 0.0 33494.0 230.616905646
4928.85241574 62148.3372645 58268.0809727 0.0 33296.0 229.119267123
4928.31443692 62745.4881699 58926.7012481 0.0 33408.0 230.657585357
4927.7764474 62639.0454312 58751.3694181 0.0 33116.0 230.146875726
4927.2384472 62998.3712927 59181.0542727 0.0 33215.0 231.205976081
4926.7004363 62369.486264 58513.2461451 0.0 33371.0 229.695180748
4926.1624147 61585.8760569 57720.6313004 0.0 33140.0 227.962691896
4925.62438241 62415.9838437 58560.6038091 0.0 33180.0 229.798924117
4925.08633943 61519.4301556 57709.5299565 0.0 33183.0 228.046902794
4924.54828575 60696.3317408 56811.2053993 0.0 33625.0 225.940401035
4924.01022138 59891.6025631 56109.0288965 0.0 33696.0 224.6001145
4923.47214631 57641.3299924 53817.0844336 0.0 33838.0 219.41012678
4922.93406055 55837.5284821 51969.4906592 0.0 34075.0 215.119009713
4922.3959641 54324.5693799 50471.0234936 0.0 34578.0 211.680750602
4921.85785695 53469.1507635 49672.2289962 0.0 34583.0 209.926452331
4921.31973911 53219.7690462 49407.9300542 0.0 34985.0 209.27326381
4920.78161057 54140.740578 50296.5106693 0.0 35143.0 211.29245844
4920.24347134 56082.2845848 52276.6986032 0.0 35139.0 215.949838279
4919.70532141 58647.6576978 54873.8484599 0.0 35298.0 221.879764009
4919.16716079 60958.4182703 57114.0352711 0.0 35288.0 226.682699257
4918.62898948 61303.5553709 57477.1760605 0.0 35263.0 227.509581204
4918.09080747 62058.4761689 58163.6931813 0.0 35145.0 228.865276099
4917.55261476 62970.3818737 59079.6400624 0.0 35398.0 230.84615147
4917.01441137 63275.6033892 59433.9715059 0.0 35801.0 231.700090376
4916.47619728 63353.3694351 59485.6638766 0.0 35956.0 231.760105372
4915.93797249 63305.2187491 59456.6572548 0.0 36612.0 231.735164503
4915.39973701 64217.609471 60436.6113767 0.0 36969.0 233.950804329
4914.86149084 64543.522293 60741.5121504 0.0 36891.0 234.555341927
4914.32323397 64825.3565703 60966.171794 0.0 36998.0 234.919765666
4913.78496641 65294.110695 61479.7392265 0.0 36513.0 236.086361817
4913.24668815 64605.8846533 60787.1213802 0.0 36302.0 234.619471872
4912.7083992 64956.0588586 61227.2459832 0.0 36389.0 235.719938661
4912.17009955 65215.1624386 61390.0090333 0.0 36136.0 235.87725742
4911.63178921 65393.7743004 61598.0227016 0.0 36113.0 236.370193895
4911.09346818 65676.4549032 61792.7956068 0.0 36132.0 236.610387974
4910.55513645 64976.3738708 61175.2425227 0.0 36212.0 235.471663369
4910.01679403 65127.6112684 61239.9310216 0.0 35923.0 235.441949474
4909.47844092 65620.5414038 61814.0113303 0.0 36112.0 236.802105636
4908.9400771 65312.3766914 61485.5964235 0.0 35897.0 236.074902731
4908.4017026 64835.9823983 61010.8308532 0.0 35724.0 235.079245164
4907.8633174 66048.8501845 62190.713772 0.0 35753.0 237.491012391
4907.32492151 65224.5545957 61364.09995 0.0 36015.0 235.755220871
4906.78651492 66013.1613595 62166.7584709 0.0 36204.0 237.463366587
4906.24809764 65709.1153121 61950.8162077 0.0 35873.0 237.180474618
4905.70966966 65735.4812815 61920.9868056 0.0 36192.0 237.01071933
4905.17123099 65087.4608232 61329.8912445 0.0 36136.0 235.880501109
4904.63278163 65206.7148089 61411.2504241 0.0 36189.0 235.978759803
4904.09432157 65675.8962749 61855.6552832 0.0 36328.0 236.86306607
4903.55585082 65975.7206831 62156.4415344 0.0 36372.0 237.493537569
4903.01736937 65823.7427061 62032.2401908 0.0 36141.0 237.287182118
