wv raw rms rect wvcal snr
4941.85525353 58800.7369127 55232.5914247 0.0 32994.0 224.060029389
4941.31700726 58427.3268747 54903.4112375 0.0 33355.0 223.418696139
4940.77875091 58860.7774508 55352.7672871 0.0 33143.0 224.445567548
4940.24048448 59406.3918776 55860.6276948 0.0 32752.0 225.490126121
4939.70220797 58589.2741593 55037.0275818 0.0 33283.0 223.658535891
4939.16392137 58891.9154386 55373.0929726 0.0 32752.0 224.468936886
4938.6256247 59354.4451364 55826.4561165 0.0 32851.0 225.450236782
4938.08731794 58860.986977 55372.5159468 0.0 33225.0 224.528143324
4937.54900111 58789.4974647 55245.275143 0.0 33072.0 224.135742212
4937.01067419 59193.9996109 55691.6254857 0.0 33284.0 225.204338902
4936.47233719 59640.0516337 56125.9090838 0.0 33391.0 226.135543625
4935.93399011 59545.129092 55979.8236138 0.0 33709.0 225.713420135
4935.39563295 59218.6007817 55638.4789845 0.0 33587.0 224.932751903
4934.8572657 59724.264193 56174.0881863 0.0 33626.0 226.169831532
4934.31888838 59919.4293793 56399.0744194 0.0 33642.0 226.72169505
4933.78050097 60560.4348184 57068.1253083 0.0 33409.0 228.23629883
4933.24210349 60601.4570583 57074.8358824 0.0 33824.0 228.183280685
4932.70369592 60499.3762027 56918.7074312 0.0 33767.0 227.737076119
4932.16527827 60258.0299498 56720.4284691 0.0 33592.0 227.389729152
4931.62685054 60530.2712859 57012.0297881 0.0 33494.0 228.063190324
4931.08841273 60985.1647593 57465.0559871 0.0 33296.0 229.04302209
4930.54996484 60741.2343899 57185.7548539 0.0 33408.0 228.367559282
4930.01150687 61135.1484733 57622.3309595 0.0 33116.0 229.397815757
4929.47303881 61310.8926056 57797.6365242 0.0 33215.0 229.775874401
4928.93456068 61333.4941205 57787.8192069 0.0 33371.0 229.691118244
4928.39607246 61227.3664857 57664.5984738 0.0 33140.0 229.39125482
4927.85757417 61471.8754948 57947.5740359 0.0 33180.0 230.07784234
4927.31906579 61911.6622878 58383.1527933 0.0 33183.0 231.007270746
4926.78054733 61885.059599 58340.3849999 0.0 33625.0 230.883796825
4926.24201879 61190.9465448 57734.8443515 0.0 33696.0 229.752428814
4925.70348017 61028.9664708 57543.8572944 0.0 33838.0 229.282444822
4925.16493147 60986.5605392 57422.4952965 0.0 34075.0 228.864454586
4924.62637268 60785.4261321 57253.8864169 0.0 34578.0 228.562602034
4924.08780382 59732.0016574 56246.9020411 0.0 34583.0 226.458350636
4923.54922487 59862.8813691 56379.0731652 0.0 34985.0 226.750278037
4923.01063584 59355.0706919 55823.1981237 0.0 35143.0 225.435358594
4922.47203674 59961.1106416 56420.0046791 0.0 35139.0 226.726448318
4921.93342755 60137.2532906 56597.1543424 0.0 35298.0 227.11569663
4921.39480828 60171.5322718 56616.3977992 0.0 35288.0 227.128040817
4920.85617893 61386.8345675 57850.3782877 0.0 35263.0 229.844287903
4920.31753949 61730.395714 58141.3451566 0.0 35145.0 230.368865074
4919.77888998 61555.760944 57986.8767006 0.0 35398.0 230.075351238
4919.24023039 61547.9223631 58030.6503929 0.0 35801.0 230.270725538
4918.70156071 61579.1545843 58021.0533074 0.0 35956.0 230.170137181
4918.16288095 61668.1944104 58121.8400527 0.0 36612.0 230.410288872
4917.62419112 62716.266923 59175.4597408 0.0 36969.0 232.679529478
4917.0854912 62373.1613228 58854.2475416 0.0 36891.0 232.03592328
4916.5467812 62675.2197992 59157.0643038 0.0 36998.0 232.684303869
4916.00806112 62613.1749432 59057.0045602 0.0 36513.0 232.396831865
4915.46933095 62725.9177761 59183.617878 0.0 36302.0 232.694033178
4914.93059071 63235.0357911 59654.9314855 0.0 36389.0 233.624138526
4914.39184039 63349.4663103 59839.8641614 0.0 36136.0 234.153118795
4913.85307998 63236.3337002 59680.1144405 0.0 36113.0 233.723859996
4913.31430949 63264.6446896 59727.9718898 0.0 36132.0 233.863319191
4912.77552893 63695.5864235 60192.9045827 0.0 36212.0 234.913901603
4912.23673828 63011.8816406 59484.2727368 0.0 35923.0 233.363011845
4911.69793755 62536.2072612 58997.948936 0.0 36112.0 232.305498747
4911.15912674 62970.0578656 59477.7392146 0.0 35897.0 233.417590462
4910.62030584 63165.673207 59635.0059651 0.0 35724.0 233.677524517
4910.08147487 63013.4405859 59446.2596535 0.0 35753.0 233.205403732
4909.54263382 62895.3110875 59393.4335171 0.0 36015.0 233.219642414
4909.00378268 63034.3349709 59465.1037683 0.0 36204.0 233.241536952
4908.46492147 63001.737802 59475.2128382 0.0 35873.0 233.345840477
4907.92605017 63548.8795864 60001.2477342 0.0 36192.0 234.421550683
4907.38716879 63424.1777243 59929.2257142 0.0 36136.0 234.370876345
4906.84827733 63108.1660341 59556.5834152 0.0 36189.0 233.470326491
4906.30937579 63526.6846129 59975.2309455 0.0 36328.0 234.359060051
4905.77046417 63326.576294 59804.251401 0.0 36372.0 234.052961308
4905.23154246 63670.5765642 60185.2331876 0.0 36141.0 234.931194393
4904.69261068 63875.588867 60370.027852 0.0 36194.0 235.282440393
4904.15366881 64086.1373228 60567.6940844 0.0 36146.0 235.674419841
4903.61471687 63284.3368385 59792.2973289 0.0 36183.0 234.086257476
4903.07575484 63563.0604902 60054.4100956 0.0 35811.0 234.609446001
4902.53678273 63461.4633031 59948.1884568 0.0 35785.0 234.375591613
4901.99780054 63482.0206059 59909.7443333 0.0 35533.0 234.180053181
4901.45880827 63886.9264491 60355.9624371 0.0 35597.0 235.203741622
4900.91980592 63486.1238398 59988.1951349 0.0 35746.0 234.490012458
4900.38079349 64000.6860655 60425.4322988 0.0 35836.0 235.265006812
4899.84177097 63559.597006 59960.7628885 0.0 35824.0 234.236897541
4899.30273838 63603.7144595 60051.8057604 0.0 35751.0 234.520338379
4898.7636957 63705.0140294 60146.7713245 0.0 35547.0 234.709063427
4898.22464295 63414.5402151 59884.4655447 0.0 35643.0 234.208057426
