wv raw rms rect wvcal snr
4942.48745804 82771.3125178 79017.9165618 0.0 32994.0 271.426119939
4941.94892492 82699.8981522 78940.0309166 0.0 33355.0 271.272069576
4941.41038168 83191.4672 79468.0841273 0.0 33143.0 272.302158453
4940.87182832 83183.616309 79461.942931 0.0 32752.0 272.293884211
4940.33326484 84134.5095123 80451.8470402 0.0 33283.0 274.16462267
4939.79469125 83690.0576624 80010.3385569 0.0 32752.0 273.366823751
4939.25610754 83309.0499185 79627.5857728 0.0 32851.0 272.665911798
4938.71751371 83279.4942571 79584.8281719 0.0 33225.0 272.56504427
4938.17890977 83709.8550428 79976.7980208 0.0 33072.0 273.213855469
4937.64029571 83565.2508913 79839.3776974 0.0 33284.0 272.97574948
4937.10167153 83658.1325436 79915.5489073 0.0 33391.0 273.085834857
4936.56303724 83889.6313039 80222.7109173 0.0 33709.0 273.775335124
4936.02439282 83633.5543078 79963.9715603 0.0 33587.0 273.299845914
4935.48573829 84419.3202536 80659.765234 0.0 33626.0 274.409944755
4934.94707365 84799.1553674 81103.987575 0.0 33642.0 275.324875558
4934.40839888 84163.4174104 80495.6867755 0.0 33409.0 274.269888225
4933.869714 85042.1879103 81328.4869036 0.0 33824.0 275.698825883
4933.33101901 85352.2663292 81654.715225 0.0 33767.0 276.314905716
4932.79231389 85170.1864252 81464.2429555 0.0 33592.0 275.957133283
4932.25359866 84365.9391622 80675.5173941 0.0 33494.0 274.55715378
4931.71487331 84973.6384381 81278.9688475 0.0 33296.0 275.641964782
4931.17613784 85346.8693493 81670.1332771 0.0 33408.0 276.378255045
4930.63739226 85057.2259694 81358.6005326 0.0 33116.0 275.778992193
4930.09863656 85702.4932919 82024.31327 0.0 33215.0 277.013136301
4929.55987074 85905.8184804 82180.7143894 0.0 33371.0 277.214159664
4929.0210948 86326.3437031 82666.1716753 0.0 33140.0 278.195129976
4928.48230875 86000.367635 82278.7682214 0.0 33180.0 277.396182521
4927.94351258 86762.0391548 83097.6901391 0.0 33183.0 278.959396381
4927.4047063 85757.2200701 82048.0550729 0.0 33625.0 277.002965357
4926.86588989 86689.9874752 83010.3814216 0.0 33696.0 278.777587105
4926.32706337 86076.7851073 82407.5686294 0.0 33838.0 277.716448447
4925.78822673 85219.8155739 81524.037069 0.0 34075.0 276.082369527
4925.24937998 85370.3102652 81673.6524749 0.0 34578.0 276.350552726
4924.71052311 85409.5315457 81680.9393545 0.0 34583.0 276.309139648
4924.17165612 85015.1095239 81310.8496684 0.0 34985.0 275.683129718
4923.63277901 84503.703389 80765.6479203 0.0 35143.0 274.638816028
4923.09389179 84782.6788483 81077.2128645 0.0 35139.0 275.258810138
4922.55499445 85360.2726763 81653.0544242 0.0 35298.0 276.29539703
4922.01608699 85249.6179816 81529.7059011 0.0 35288.0 276.051339935
4921.47716942 86452.7262114 82783.229488 0.0 35263.0 278.388730113
4920.93824172 85930.5769546 82250.3067158 0.0 35145.0 277.415496788
4920.39930391 86181.2396045 82487.6233543 0.0 35398.0 277.818418337
4919.86035599 86573.9863974 82859.0837799 0.0 35801.0 278.447248717
4919.32139794 86811.9165962 83095.5307048 0.0 35956.0 278.867243966
4918.78242978 87842.913164 84127.6798317 0.0 36612.0 280.706225921
4918.24345151 87767.9582201 84088.6863286 0.0 36969.0 280.697760398
4917.70446311 87223.006745 83546.0494135 0.0 36891.0 279.737297211
4917.1654646 87054.3062707 83335.2917129 0.0 36998.0 279.290583651
4916.62645597 88198.9941887 84502.6479204 0.0 36513.0 281.402491322
4916.08743722 87944.6332779 84241.0420148 0.0 36302.0 280.926905709
4915.54840836 87929.8606901 84213.2075448 0.0 36389.0 280.855522359
4915.00936938 88170.4557388 84451.2671549 0.0 36136.0 281.273049774
4914.47032028 87981.5498788 84278.0250273 0.0 36113.0 280.992570756
4913.93126107 88613.5375582 84997.3461486 0.0 36132.0 282.411511085
4913.39219174 88964.1367143 85296.6380616 0.0 36212.0 282.852680718
4912.85311229 88224.9789376 84485.4758896 0.0 35923.0 281.299395729
4912.31402272 88486.7904865 84813.1686355 0.0 36112.0 281.98976268
4911.77492304 88517.5416515 84864.2697093 0.0 35897.0 282.114256622
4911.23581324 88904.7875513 85192.9262114 0.0 35724.0 282.595476192
4910.69669332 88214.3946834 84581.001814 0.0 35753.0 281.647232745
4910.15756329 88943.363664 85251.0377282 0.0 36015.0 282.730671483
4909.61842313 88795.9552082 85037.4488709 0.0 36204.0 282.242986632
4909.07927287 88908.7940754 85198.9565231 0.0 35873.0 282.609501852
4908.54011248 88787.2403206 85106.3164023 0.0 36192.0 282.494779563
4908.00094198 88978.4561081 85307.3983177 0.0 36136.0 282.865650359
4907.46176136 88272.383856 84580.2818559 0.0 36189.0 281.547003405
4906.92257062 89370.3341749 85679.241316 0.0 36328.0 283.486069445
4906.38336976 89156.7551888 85483.1485544 0.0 36372.0 283.170670317
4905.84415879 89246.5408632 85563.5243234 0.0 36141.0 283.296229611
4905.3049377 89119.4295402 85458.3010973 0.0 36194.0 283.147904355
4904.7657065 89153.2228866 85441.7567094 0.0 36146.0 283.034338031
4904.22646517 89392.2456719 85719.2119366 0.0 36183.0 283.586551635
4903.68721373 89114.7261195 85399.5099404 0.0 35811.0 282.953696957
4903.14795218 88573.637064 84842.7230447 0.0 35785.0 281.945578915
4902.6086805 89462.6586456 85771.7143297 0.0 35533.0 283.648744514
4902.06939871 89251.8166939 85596.0554225 0.0 35597.0 283.39913008
4901.5301068 89393.6869497 85706.2024562 0.0 35746.0 283.53948194
4900.99080478 89556.9287341 85825.2191567 0.0 35836.0 283.67443719
4900.45149263 89128.2429331 85377.2439814 0.0 35824.0 282.854494098
4899.91217037 89306.5099358 85634.4979551 0.0 35751.0 283.439435123
4899.372838 88989.3404613 85332.779685 0.0 35547.0 282.934685636
4898.8334955 89361.7578087 85708.0658931 0.0 35643.0 283.599399793
4898.29414289 90037.254615 86316.1529841 0.0 35658.0 284.552807015
4897.75478016 89675.2463475 85614.4841027 0.0 35892.0 282.754591291
4897.21540732 89909.3120738 86156.5554122 0.0 35644.0 284.220424776
4896.67602435 89191.5300592 85477.1919234 0.0 35677.0 283.091870385
4896.13663127 89148.3147961 85413.7144311 0.0 35968.0 282.946191556
4895.59722808 89852.8761106 86149.4904649 0.0 35806.0 284.290545125
4895.05781476 89697.8049861 86005.992252 0.0 35868.0 284.058383656
4894.51839133 90156.1080157 86485.440062 0.0 36040.0 284.933166463
4893.97895778 89225.5983352 85578.9615589 0.0 36060.0 283.384394174
4893.43951412 89453.6473613 85778.9421206 0.0 36400.0 283.688641572
4892.90006033 88774.1839577 85070.6387556 0.0 36384.0 282.393851007
4892.36059643 89283.5221169 85563.5277612 0.0 36654.0 283.234243392
4891.82112242 87650.597928 83987.1206678 0.0 37213.0 280.544199323
4891.28163828 88611.9132508 84901.3590412 0.0 37757.0 282.083360173
4890.74214403 88136.4249809 84435.1664925 0.0 37618.0 281.274758631
4890.20263966 87915.9116384 84270.7723377 0.0 37950.0 281.078253243
4889.66312518 88455.1238237 84744.2107566 0.0 38291.0 281.805170208
4889.12360057 88106.5413094 84403.6463648 0.0 38271.0 281.216186038
4888.58406585 88504.1696783 84782.7037109 0.0 37771.0 281.85543606
4888.04452102 87879.7014688 84170.1597213 0.0 37085.0 280.791181837
4887.50496606 86711.0968436 83040.37273 0.0 36473.0 278.846233376
4886.96540099 87803.2465596 84139.7128515 0.0 36209.0 280.814856945
4886.4258258 87204.9729557 83492.4121014 0.0 36085.0 279.581503261
