HD 35345,B1.5III,,HD035039
HD 35497*,B7III,,HD035269
HD 36512*,B0V,,HD035345
HD 36822*,B0.2IV,,HD035468
HD 36960*,B0.5V,,HD035468
HD 36861J*,O8III((f)),,HD035497
HD 36862,,,HD036512
HD 37711*,B3IV,,HD036822
HD 38771*,B0.5Ia,,HD036861J
HD 38708,B3III,,HD036960
HD 39801,M1,,HD037711
HD 40111,B0III?,,HD038708
HD 40312,B9IV,,HD038771
HD 41117*,B2Ia,,HD039801
HD 42560,B3V,,HD040111
HD 45542,B3V,,HD040312
HD 46487,B3V,,HD041117
HD 47105,A2V,,HD042560
HD 47100,B7III,,HD045542
HD 47431,B8V?,,HD046487
HD 48977,,,HD046487
HD 49229,B8.2III,,HD047100
HD 49606,B8III,,HD047105
HD 50228,,,HD047105
HD 49340,B5III,,HD047431
HD 51477,,,HD049229
HD 51688,B8V,,HD049340
HD 51893,B8V,,HD049606
HD 52037,B3V?,,HD051638
HD 51638,B9V,,HD051688
HD 52559,B2IV,,HD051893
HD 55606,B2V,,HD052037
HD 55200,?,,HD052559
HD 55579,B9V,,HD055200
HD 56310,,,HD055579
HD 57539,B3V,,HD055606
HD 56386,B9IV,,HD055606
HD 56169*,A2III,,HD055606
HD 57102,B8IV,,HD056169
HD 57103,B8V,,HD056310
HD 58715,B8V,,HD056386
HD 60178J,A1V,,HD057102
HD 60863,B8V,,HD057103
HD 60855,B1V Nebular,,HD057539
HD 61068,B1V,,HD058715
HD 61093,A0III or B9V,,HD060178J
HD 61554,B7V,,HD060178J
HD 60818,A2V,,HD060178J
HD 61931*,A0III,,HD060818
HD 63112,B9V,,HD060855
HD 63021,A1V,,HD060863
HD 63975,B8III,,HD061068
HD 64705,B9IV,,HD061093
HD 65241,A0V,,HD061554
HD 65041,B3V cp,,HD061931
HD 65396,B8.5V,,HD063021
HD 65875,B1.5Ve,,HD063021
HD 65804,B8III,,HD063021
HD 66684,B9V,,HD063112
HD 67797,B3V,,HD063975
HD 67880,B2.5V,,HD064705
HD 68099,B8V,,HD065041
HD 68194,A0V,,HD065241
HD 69686,B5V,,HD065396
HD 71072,B2Vp,,HD065804
HD 71155*,A0Va,,HD065875
HD 71554,B9.5V,,HD066684
HD 71906,B9V,,HD067797
HD 73262*,A1IV,,HD067880
HD 74217,B9V,,HD068099
HD 74280*,B3V,,HD068194
HD 74393,B9V,,HD069686
HD 74815,B9V,,HD071072
HD 75357,A1IV,,HD071155
HD 74604,B7IV,,HD071554
HD 75333,B8IV,,HD071906
HD 75390,A0V,,HD073262
HD 76644*,A7IV,,HD074217
HD 77327,A0III,,HD074280
HD 78316,B8V,,HD074393
HD 78556,B9IV,,HD074604
HD 79158,B8V,,HD074815
HD 79931,B8.5V,,HD075333
HD 80608,B9V,,HD075357
HD 82865,B9.5V,,HD075390
HD 82327,B9V,,HD076644
HD 83434,B9V,,HD077327
HD 83650,B9V,,HD078316
HD 83754,B5V,,HD078556
HD 87015,B2V cp,,HD079158
HD 87504,B8IV,,HD079931
HD 87737*,A0Ib,,HD080608
HD 87696*,A7V,,HD082327
HD 87887*,A0III,,HD082865
HD 87901,B8V,,HD083434
HD 89239,B9.5V,,HD083650
HD 89688,BI.5V cp,,HD083754
HD 89774,A1IV,,HD087015
HD 89884,B2V?,,HD087504
HD 89897,B9V,,HD087696
HD 90044,B9V,,HD087737
HD 90882,B9V,,HD087887
HD 90994,B7V,,HD087901
HD 91120,B8IV,,HD087901
HD 91130,A1V cp,,HD087901
HD 91316*,B1Iab,,HD087901
HD 93033,B8V,,HD087901
HD 93152,B9V,,HD089239
HD 93521,O9.5IIIn,,HD089688
HD 93427,A0IV,,HD089774
HD 92728,B9V,,HD089884
HD 94601,A0V,,HD089897
HD 95418,A1V,,HD090044
HD 96314,A8.5V,,HD090882
HD 97277*,A2IV,,HD090994
HD 97603,A3IV,,HD091120
HD 97633,A1IV,,HD091120
HD 98664,B9V,,HD091130
HD 100600,B3V,,HD091316
HD 100889,B9V,,HD092728
HD 100972,A0V,,HD093033
HD 102647*,A3Va,,HD093152
HD 103287*,A0Van,,HD093427
HD 103483,A2V,,HD093521
HD 103498,A0V,,HD094601
HD 104337,B1.5V,,HD094601
HD 105262,B9II?,,HD095418
HD 106625,B8V,,HD095418
HD 106591,A2V,,HD096314
HD 107259,A1V,,HD097277
HD 107348,B8V,,HD097603
HD 109387,B2V?,,HD097603
HD 109995,A0V He variable,,HD097633
HD 110411,A3V cp,,HD097633
HD 111133,B9V,,HD098664
HD 112413,B9IV,,HD100600
HD 112504,A1V,,HD100889
HD 113436,A1III,,HD100889
HD 113797,A0III,,HD100972
HD 114376,B7V,,HD102647
HD 114330,A1III,,HD103287
HD 115612,B9V,,HD103287
HD 115735,B9V,,HD103483
HD 116658,B1V,,HD103498
HD 120315*,B3V,,HD104337
HD 123299*,A0III,,HD105262
HD 127304,A0V He A3V,,HD105262
HD 129174,B9IV,,HD106591
HD 129956,B9Ve,,HD106591
HD 130767,B9V,,HD106625
HD 130870,A0V,,HD107259
HD 135742,B8III,,HD107259
HD 139006,A1Ve,,HD107348
HD 139891,B7V,,HD108767
HD 139892,B8V,,HD109387
HD 140573,,,HD109387
HD 141003*,A2IV,,HD109387
HD 141569,A0V,,HD109995
HD 142763,B7III,,HD109995
HD 142983,B5III?,,HD110411
HD 143275,B0Ve,,HD111133
HD 144470*,B1V,,HD112185
HD 146926,B8V,,HD112413
HD 145502,B1.5V cp,,HD112504
HD 147394*,B5IV,,HD113436
HD 147084*,A5II,,HD113436
HD 147547*,A9IIIb,,HD113797
HD 147550,B9V,,HD114330
HD 148184,B1.5V,,HD114330
HD 148605*,B2.5V,,HD114376
HD 149630,B9V?,,HD115612
HD 149438*,B0.2V,,HD115735
HD 150100,B9Ve,,HD116656J
HD 149757,B1Ve,,HD116657
HD 152614,B8IV,,HD116658
HD 154445*,B1.5V,,HD116658
HD 154660,A3IV,,HD116658
HD 155763,B8III cp,,HD120315
HD 155806,B7Ve,,HD120315
HD 157174,B9IV,,HD120315
HD 157741,B8.5V,,HD120315
HD 158148,B3V cp,,HD120315
HD 159032,B8Ve?,,HD120315
HD 159561,A3V,,HD120315
HD 159845,B3V,,HD120315
HD 160762*,B3IV,,HD121847
HD 161056,B1.5V,,HD123299
HD 161004,B8III,,HD124683
HD 162732,B9II,,HD126769
HD 162570,A9V,,HD127304
HD 162345,B2V,,HD129174
HD 164284,B3V?,,HD129433
HD 164353*,B5Ib,,HD129956
HD 164402*,B0Ib,,HD129956
HD 165046,B8III,,HD130274
HD 165174,B0V?,,HD130767
HD 165052*,O6.5V(n)((f)),,HD130870
HD 165365,B8V,,HD131162
HD 165517,09.5V?,,HD131919
HD 165854,B8.5V,,HD134759
HD 167771,O7III((f))+O8III,,HD134946
HD 168135,B7III,,HD135230
HD 169454*,B1Ia+,,HD135742
HD 170235,,,HD135742
HD 170580,B5III cp,,HD135742
HD 172167*,A0V/A0Va,,HD136849
HD 173075,B9IV,,HD137389
HD 173936,B5V,,HD138485
HD 175156,B5I,,HD138527
HD 175754*,O8II((f)),,HD138749
HD 230246,B8Ve,,HD138764
HD 176437*,B9III,,HD139006
HD 177724,A0V,,HD139006
HD 178329*,B3V,,HD139006
HD 177817,B8V,,HD139094
HD 178125,B8IV,,HD139160
HD 178065*,B9II,,HD139365
HD 177756,B9IV,,HD139891
HD 178175,B0V,,HD139892
HD 179343,B9III?,,HD139909
HD 180126,B3V,,HD140873
HD 180587,B8.5III,,HD141003
HD 180857,,,HD141569
HD 182550,B9III (He?),,HD141637
HD 182519,B1.5V cp,,HD142096
HD 183035,B8V,,HD142114
HD 183656,A1I,,HD142165
HD 184927,B2IVp,,HD142184
HD 186485,B9IV,,HD142250
HD 186637,B7IV,,HD142301
HD 187851,B1.5V,,HD142315
HD 189236,B8IV,,HD142378
HD 189847,B7III,,HD142669
HD 189957*,O9.5III,,HD142763
HD 189944,B5IV,,HD142883
HD 190150,B7.5e,,HD142926
HD 191263,B3IV,,HD142983
HD 191692,B9IV,,HD142983
HD 192987,B5III,,HD142983
HD 193322A,O9IV(n),,HD142983
HD 193322B,B1.5V,,HD142983
HD 193964,B9IV,,HD142983
HD 193911,B7III,,HD142983
HD 194335,B1V,,HD142983
HD 229239,B0.5V,,HD142990
HD 195810,B7V,,HD143018
HD 196740,B5V,,HD143187
HD 196867*,B9IV,,HD143275
HD 197345*,A2Ia,,HD143275
HD 198183,B5V,,HD144206
HD 198478*,B2.5Ia,,HD144217
HD 198846,O9.5IV+O9.5IV,,HD144218
HD 198667,B9IIIp,,HD144334
HD 199081,B5V,,HD144470
HD 200775,B2Ve,,HD144470
HD 201522,B7V,,HD144844
HD 201184*,A0Va,,HD145389
HD 201836,B5III,,HD145482
HD 202214,O9.5IV,,HD145483
HD 202124,O9Iab,,HD145502
HD 203064,O7.5IIIn((f)),,HD145502
HD 204172*,B0Ib,,HD145502
HD 205021,B0.5V,,HD146416
HD 204722,B2IVe,,HD146926
HD 204860,B3III He B5,,HD147084
HD 205329,B3III,,HD147165
HD 206135,B2V,,HD147394
HD 205637,B3III,,HD147394
HD 206165*,B2Ib,,HD147394
HD 206183,O9.5IV-V,,HD147394
