HD 224990,5.495255354,,,3CenA
HD 225132,10.59305642,,,3CenB
HD 108,0.384525917,,,BD+47_1108
HD 358,33.62,,,HD000108
HD 560,10.71273591,,,HD000358
HD 628,2.702387977,,,HD000358
HD 886*,3.917095185,,,HD000358
HD 1279,2.62272724,,,HD000560
HD 1337,0.552219993,,,HD000628
MWC 5,0.333152112,,,HD000886
HD 2083,0.809171887,,,HD001279
HD 2772,1.663740223,,,HD001337
HD 2905*,1.919858191,,,HD002083
HD 3240,6.82865402,,,HD002772
HD 3360,9.189872989,,,HD002905
HD 3369,5.93898015,,,HD003240
HD 3901,2.170339379,,,HD003360
HD 4180,4.704595314,,,HD003369
HD 4622,9.323532282,,,HD003901
HD 4727*,6.925882534,,,HD004180
HD 4636,9.631359079,,,HD004622
HD 5394,5.32,,,HD004636
HD 5737,4.706790079,,,HD004727
HD 6457,11.65388273,,,HD005394
HD 6456,12.85996423,,,HD005737
HD 6675*,0.811345264,,,HD006456
HD 6811,4.55,,,HD006457
HD 7374,5.699582193,,,HD006675
HD 236689,0.339224365,,,HD006811
HD 8511*,15.01672409,,,HD007374
HD 9132*,14.1177265,,,HD008511
HD 10205,4.917234662,,,HD009132
HD 10516,6.603171608,,,HD010205
HD 11415,7.111908808,,,HD010516
HD 11529,5.093605386,,,HD011415
HD 12303,4.2742966,,,HD011529
HD 12534,12.56528238,,,HD012303
HD 12767,9.615566068,,,HD012534
HD 13294,7.14689412,,,HD012767
HD 13295,7.41663295,,,HD013294
HD 13854*,0.321787172,,,HD013295
HD 16046*,7.002542151,,,HD013854
HD 16196,1.625771274,,,HD016046
HD 16582*,4.688079931,,,HD016196
HD 16908,11.44772572,,,HD016582
HD 17081,9.382010343,,,HD016908
HD 17036,5.533027592,,,HD017036
HD 17573,21.16239309,,,HD017081
TYC 4056-415-1,1.536881865,,,HD017573
HD 18604,8.284257179,,,HD018604
HD 18877,2.1470042,,,HD018877
HD 19356*,36.27,,,HD019356
HD 20365*,5.584574085,,,HD019356
HD 20418,5.839913091,,,HD020336
HD 20336,6.070447376,,,HD020365
HD 20756,6.372831932,,,HD020418
HD 20863,5.656400173,,,HD020756
HD 20961,5.408523455,,,HD020863
HD 21071*,6.032609741,,,HD020961
HD 21364,16.44935099,,,HD021071
HD 21278,5.633437005,,,HD021278
HD 21483*,1.874764197,,,HD021291
HD 21291*,1.335997416,,,HD021364
HD 21428,5.050046919,,,HD021389
HD 21455,5.888054005,,,HD021428
HD 21389*,1.078720994,,,HD021455
HD 21551,5.555855663,,,HD021483
HD 21790,8.178755741,,,HD021551
HD 21641,5.695530722,,,HD021641
HD 21661,1.904458404,,,HD021661
HD 21699,1.904458404,,,HD021699
HD 21933,8.649354112,,,HD021790
HD 22203,12.49118037,,,HD021931
HD 21931,5.805711478,,,HD021933
HD 22192,5.962710945,,,HD022192
