name	classification
HD138749	B5V
HD138764	B7V
HD139006	A1IV
HD139094	B7V
HD139160	B8V
HD139365	B3V
HD139891	B7V
HD139892	B7V
HD139909	B9V
HD140873	B7V
HD141003	A2IV
HD141569	A0V
HD141637	B2V
HD142096	B5V
HD142114	B2.5V
HD142165	B7V
HD142184	B2.5V
HD142250	B7V
HD142301	B7III-IV
HD142378	B5V
HD142926	B8V
HD142763	B7III
HD143187	B9V
HD142883	B6V
HD142983	B5III
HD142990	B3V
HD143018	B1V
HD143275	B1V:
HD144206	B9III-IV
HD144217	B0.7V
HD144218	B2.5IV
HD144470	B1V
HD144844	B9IV-V
HD145389	B9IV
HD146926	B8IV
HD145502	B2.5V
HD145483	B9V
HD145482	B2.5V
HD146416	B9V
HD147394	B5IV
HD147084	A5II
HD147165	B0.7III
HD147547	A9III
HD147550	A0III-IV
HD148112	A0IV
HD147888	B5V
HD147933	B2V
HD148184	B1.5V
HD149212	B9IV
HD148632	A1III:
HD148605	B2.5V
HD148594	B8V
HD149121	A0III
HD149630	B9IV
HD149438	B0.2V
HD150100	B9.5V
HD150117J	B9IV
HD149881	B0.5III
HD149757	O9.2IV
HD151133	B9IV
HD151749	B9.5IV
HD151884	B3V
HD152614	B9IV
HD152655	B9III-IV
HD152909	B7IV
HD154204	B7IV
HD154445	B1.5V
HD154660	A5III
HD155328	A0IV
HD155763	B7III
HD155095	B7III
HD155125	A2V
HD155711	B9.5V
HD155401	B9IV
HD155806	O7.5V
HD156377	B9V
HD156633	B3IV
HD157151	B9.5V
HD157056	B1.5IV
HD157174	B9IV
HD157741	B9IV
HD157841	A0III-IV
HD158261	A0.5V
HD158148	B5IV
HD157955	A0III
HD158704	B8.5IV
HD159082	A0III-IV
HD159032	B8V
HD159358	B9IV
HD159561	A3IV
HD159975	B8III
HD159845	B5III
HD160762	B2.5IV
HD161056	B1.5V
HD161569	B9V
HD161004	B8III
HD161464	B7III-IV
HD161695	A0Ib
HD161573	B3V
HD161677	B5IV
HD161701	B8IV
HD162094	B3V
HD162732	B5IV
HD162570	A5III
HD162345	B4III
HD163472	B2IV
HD163966	B9.5IV
HD163641	B9III-IV
HD164212	B9V
HD164429	B9IV
HD164284	B2.5V
HD164447	B7IV
HD164353	B5Ib
HD164432	B2IV
HD164402	B0Ib
HD164852	B3V
HD164900	B3IV-V
HD165046	B8:III:
HD165174	O9.7II
HD165052	O6.5V
HD165402	B7IV
HD165365	B8IV
HD165517	B0Ia
HD166182	B2.5III
HD165854	B8V
HD166563	A0IV
HD166917	B6III
HD167965	B7V
HD167771	O7III
HD168131	B3IV
HD168199	B3V
HD168271	B9IV
HD168135	B7III
HD168431	B2.5IV
HD168812	B9II
HD168795	B7IV
HD170000	B9IV
HD168957	B3V
HD168797	B3III-IV
HD169031	B8:IV:
HD169454	B1Ia
HD170650	B4:III:
HD170580	B2.5IV
HD171948	A3V
HD172167	A0V
HD173075	B8IV
HD173219	B0.5IV
HD173936	B6V
HD173921	B8III
HD175156	B4II
HD175744	B8.5III
HD175754	O8II
HD230246	B8V
HD176437	B9III
HD177003	B2.5V
HD177724	A0V
HD178329	B3IV
HD177817	B7III-IV
HD178125	B7V
HD178065	B9III
HD177756	B9IV
HD178475	B5III
HD178175	B2IV
HD179343	B7III
HD180126	B3IV
HD180587	B8III
HD180857	B1.5V
HD182255	B7V
HD182550	B8III
HD182568	B2.5IV
HD182519	B3III
HD183035	B8.5IV
HD183656	B7II
HD184171	B3IV
HD184606	B7III-IV
HD184927	B2IV
HD184930	B6IV
HD186485	B9IV
HD186882	B9IV
HD186637	B8IV
HD187640	B4III
HD187811	B2.5V
HD187851	B2.5III
HD189090	B9IV-V
HD189236	B9IV
HD189847	B5IV
HD189957	O9.5III
HD189944	B5IV
HD190150	B5IV
HD190603	B1.5Ia
HD191263	B3V
HD191610	B2V
HD191692	B9.5III-IV
HD192987	B3IV
HD193322A	O9IV
HD193322B	B1.5V
HD193964	B9IV-V
HD193911	B5III
HD194335	B1.5V
HD229239	B0.2III
HD195810	B6IV
HD196740	B5III-IV
HD196867	B9IV
HD197345	A2Ia
HD198183	B5IV
HD198478	B2.5Ia
HD198846	O9.5IV
HD198667	B9III-IV
HD199081	B5IV
HD200120	B1.5V
HD200310	B1.5V
HD200775	B2.5V
HD201522	B7IV
HD201184	A0V
HD201836	B5III
HD202214	O9.7III
HD202124	O9Iab
HD203064	O7.5III
HD204172	B0Ib
HD205021	B0.7III
HD204722	B1.5V
HD204860	B3III
HD205329	B2.5IV
HD206135	B3III
HD205637	B4III
HD206165	B2Ib
HD206183	O9.5V
HD206672	B4III
HD207330	B2.5III
HD208501	B8Ib
HD209339	O9.7V
HD209481	O9IV
HD209409	B7III
HD209975	O9.5Ib
HD209819	B8.5V
HD210129	B5V
HD210419	A0IV
HD210839	O6I
HD210809	O9Iab
HD212044	B2III
HD212120	B5III
HD212097	B9III
HD212076	B2IV
HD212593	B9Ib
HD212666	B2.5IV
HD212571	B0III
HD213420	B1.5IV
HD213998	B8.5V
HD214168	B2:V:
HD214432	B3IV
HD214680	O9V
HD214748	B8III
HD214923	B8IV
HD214993	B1.5III
HD216735	A1IV
HD216956	A4V
HD217675	B5II
HD217891	B5IV
HD218376	B0.5III
HD218700	B8IV
HD219523	B3V
HD219688	B5III
HD221188	B7III
HD221253	B3IV
